id_transaction;id_barang;nik_peminjam;status;keterangan;tgl_peminjaman;no_transac
74;74;100000000003;ACCEPT;Operasional;2012-03-01;2022122374
75;75;1200181090;ACCEPT;Operasional;2016-04-05;2022122375
76;76;1110492070;ACCEPT;Operasional;2012-04-24;2022122376
77;77;1060177080;ACCEPT;Operasional;2018-04-01;2022122377
78;78;1110492071;ACCEPT;Operasional;2012-07-23;2022122378
79;79;1150692010;ACCEPT;Operasional;2018-07-01;2022122379
80;80;1100991080;ACCEPT;Operasional;2019-07-08;2022122380
81;81;1060172010;ACCEPT;Operasional;2018-07-01;2022122381
82;82;1100492050;ACCEPT;Operasional;2013-06-12;2022122382
83;83;1060177080;ACCEPT;Operasional;2011-09-01;2022122383
84;84;1100881060;ACCEPT;Operasional;2016-09-14;2022122384
85;85;1120392050;ACCEPT;Operasional;2012-09-01;2022122385
86;86;1171290010;ACCEPT;Operasional;2012-09-17;2022122386
87;87;1170700120;ACCEPT;Operasional;2012-08-21;2022122387
88;88;1161090042;ACCEPT;Operasional;2015-09-04;2022122388
